Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
1,396.17CPI,Vehicle,Operating a CMV without documentation of a periodic inspection.,64040,81397,2.95%,2,0%
2,392.2SLLSR,Other,State/Local Laws - State registration/tag violation.,66844,78961,2.86%,45,0.01%
3,393.47E,Vehicle,"Brake Out of Adjustment - Roto, Clamp (Short & Long), DD-3, or Bolt",43263,63796,2.31%,0,0%
4,393.9,Vehicle,Inoperable Required Lamp,43269,62623,2.27%,4436,0.9%
5,393.75A3TAOL,Vehicle,"Tires - All others, leaking or inflation less than 50% of the maximum inflation pressure.",42901,47940,1.73%,47133,9.58%
6,392.2RG,Other,State vehicle registration or License Plate violation,29775,39330,1.42%,52,0.01%
7,393.9ALIL,Vehicle,Lighting - Identification lamp(s) inoperative.,33489,35268,1.28%,0,0%
8,392.2SLL,Other,State/Local Laws -,29205,33062,1.2%,90,0.02%
9,392.2SLLTCD,Driver,"State/Local Laws - Failed to obey a traffic control device - Permanent or Temporary - e.g., safety offical, signal, sign, light, lane marking,  other.",32349,32550,1.18%,0,0%
10,396.17C,Vehicle,Operating a CMV without proof of a periodic inspection,23515,30683,1.11%,28,0.01%
11,393.95F,Vehicle,Emergency Equipment - Stopped vehicle warning devices missing or improper.,30602,30617,1.11%,1,0%
12,390.21TB2DOT,Other,"Operate a CMV without USDOT number displayed. Must be preceded by the letters ""USDOT"".",29827,29945,1.08%,4,0%
13,396.3A1BOS,Vehicle,Brake - Defective brake(s) are equal to or greater than 20% of the service brakes on the vehicle/combination.,29638,29919,1.08%,29749,6.05%
14,395.24,Driver,HOS (ELD) - ELD form and manner,17668,28952,1.05%,7,0%
15,392.2SLLEQP,Other,State/Local Laws - Violation of state and local law - Equipment violation. (Must have corresponding state statute or regulation),23943,28489,1.03%,824,0.17%
16,393.45B2BAIR,Vehicle,Air Brake - Hose/tubing damaged or not secured.,21322,28054,1.02%,574,0.12%
17,393.55EB,Vehicle,"Air Brake - ABS malfunction lamp defective on trailers manufactured on or after March 1, 1998.",27813,28003,1.01%,2,0%
18,395.8EHOSPD,Driver,HOS (Property) - No driver may make a false report in connection with a duty status. Explain:,16415,27690,1%,3037,0.62%
19,392.2SLLS2,Driver,State/Local Laws - Speeding 6-10 miles per hour over the speed limit.,27291,27295,0.99%,3,0%
20,390.21TB1MC,Other,Operating a CMV without legal name or trade name displayed.,26695,26746,0.97%,1,0%
